,Date,3 mo
2772,2001-01-29,5.11
2773,2001-01-30,5.02
2774,2001-01-31,4.99
2775,2001-02-01,5.00
2776,2001-02-02,5.06
2777,2001-02-05,5.06
2778,2001-02-06,5.07
2779,2001-02-07,5.07
2780,2001-02-08,5.08
2781,2001-02-09,5.06
2782,2001-02-12,5.04
2783,2001-02-13,5.05
2784,2001-02-14,5.07
2785,2001-02-15,5.08
2786,2001-02-16,5.02
2787,2001-02-20,5.04
2788,2001-02-21,5.02
2789,2001-02-22,5.01
2790,2001-02-23,4.89
2791,2001-02-26,4.81
2792,2001-02-27,4.82
2793,2001-02-28,4.85
2794,2001-03-01,4.84
2795,2001-03-02,4.84
2796,2001-03-05,4.82
2797,2001-03-06,4.79
2798,2001-03-07,4.69
2799,2001-03-08,4.68
2800,2001-03-09,4.72
2801,2001-03-12,4.66
2802,2001-03-13,4.66
2803,2001-03-14,4.54
2804,2001-03-15,4.52
2805,2001-03-16,4.54
2806,2001-03-19,4.53
2807,2001-03-20,4.49
2808,2001-03-21,4.31
2809,2001-03-22,4.26
2810,2001-03-23,4.29
2811,2001-03-26,4.29
2812,2001-03-27,4.35
2813,2001-03-28,4.34
2814,2001-03-29,4.32
2815,2001-03-30,4.30
2816,2001-04-02,4.22
2817,2001-04-03,4.15
2818,2001-04-04,4.10
2819,2001-04-05,4.11
2820,2001-04-06,3.94
2821,2001-04-09,3.93
2822,2001-04-10,3.94
2823,2001-04-11,4.08
2824,2001-04-12,4.01
2825,2001-04-16,4.15
2826,2001-04-17,4.12
2827,2001-04-18,3.91
2828,2001-04-19,3.87
2829,2001-04-20,3.77
2830,2001-04-23,3.75
2831,2001-04-24,3.80
2832,2001-04-25,3.84
2833,2001-04-26,3.83
2834,2001-04-27,3.85
2835,2001-04-30,3.95
2836,2001-05-01,3.92
2837,2001-05-02,3.89
2838,2001-05-03,3.84
2839,2001-05-04,3.74
2840,2001-05-07,3.74
2841,2001-05-08,3.70
2842,2001-05-09,3.72
2843,2001-05-10,3.74
2844,2001-05-11,3.78
2845,2001-05-14,3.71
2846,2001-05-15,3.63
2847,2001-05-16,3.57
2848,2001-05-17,3.57
2849,2001-05-18,3.61
2850,2001-05-21,3.65
2851,2001-05-22,3.64
2852,2001-05-23,3.64
2853,2001-05-24,3.70
2854,2001-05-25,3.66
2855,2001-05-29,3.71
2856,2001-05-30,3.68
2857,2001-05-31,3.63
2858,2001-06-01,3.67
2859,2001-06-04,3.68
2860,2001-06-05,3.63
2861,2001-06-06,3.62
